USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
IA,19001,465190,Adair County,1474404199,2597996,569.271,1.003,41.328528,-94.478164
IA,19003,465191,Adams County,1096700779,5353407,423.439,2.067,41.021656,-94.696906
IA,19005,465192,Allamakee County,1655214176,50995532,639.082,19.689,43.274964,-91.382751
IA,19007,465193,Appanoose County,1287982562,49084378,497.293,18.952,40.744296,-92.873061
IA,19009,465194,Audubon County,1147264553,1152260,442.961,0.445,41.679178,-94.904312
IA,19011,465195,Benton County,1855117319,5760770,716.265,2.224,42.092547,-92.05763
IA,19013,465196,Black Hawk County,1465369216,17862718,565.782,6.897,42.471541,-92.308033
IA,19015,465197,Boone County,1480381942,5358723,571.579,2.069,42.038642,-93.938358
IA,19017,465198,Bremer County,1127885581,10166470,435.479,3.925,42.780895,-92.327356
IA,19019,465199,Buchanan County,1478934776,5427666,571.02,2.096,42.470328,-91.838666
IA,19021,465200,Buena Vista County,1488989049,13791660,574.902,5.325,42.741522,-95.141432
IA,19023,465201,Butler County,1502550906,4194911,580.138,1.62,42.734708,-92.780066
IA,19025,465202,Calhoun County,1475894622,5873828,569.846,2.268,42.38617,-94.643683
IA,19027,465203,Carroll County,1474835092,2145349,569.437,0.828,42.039492,-94.867647
IA,19029,465204,Cass County,1461450798,1758815,564.269,0.679,41.333824,-94.933302
IA,19031,465205,Cedar County,1500730782,6385832,579.435,2.466,41.77236,-91.132611
IA,19033,465206,Cerro Gordo County,1471881731,17668265,568.297,6.822,43.074975,-93.250965
IA,19035,465207,Cherokee County,1494180443,423160,576.906,0.163,42.742737,-95.633262
IA,19037,465208,Chickasaw County,1306338760,3309323,504.38,1.278,43.059741,-92.31721
IA,19039,465209,Clarke County,1116716130,1524746,431.167,0.589,41.029191,-93.784096
IA,19041,465625,Clay County,1469139466,13866649,567.238,5.354,43.081224,-95.149875
IA,19043,465210,Clayton County,2016295994,36695627,778.496,14.168,42.840985,-91.323576
IA,19045,465211,Clinton County,1799830900,39514681,694.919,15.257,41.898073,-90.534243
IA,19047,465212,Crawford County,1849742884,2194272,714.19,0.847,42.043119,-95.38909
IA,19049,465213,Dallas County,1523691141,8561943,588.3,3.306,41.685321,-94.040707
IA,19051,465214,Davis County,1300661857,6904096,502.188,2.666,40.748089,-92.410345
IA,19053,465215,Decatur County,1377567314,4140764,531.882,1.599,40.736379,-93.78458
IA,19055,465216,Delaware County,1496278852,3185282,577.717,1.23,42.472937,-91.366767
IA,19057,465217,Des Moines County,1077784093,35342793,416.135,13.646,40.915339,-91.186925
IA,19059,465218,Dickinson County,985539078,60716111,380.519,23.443,43.389611,-95.196057
